number of photons = 10000.000000
bin size = 0.00400 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
1.12600 	 4.276e-06 	 3.506e-06 	 8.612e-06 	 1.183e-06 
1.13000 	 4.670e-06 	 2.851e-06 	 1.134e-05 	 4.454e-07 
1.13400 	 5.741e-06 	 3.572e-06 	 1.259e-05 	 1.447e-06 
1.13800 	 3.614e-06 	 4.129e-06 	 3.480e-05 	 5.119e-07 
1.14200 	 6.186e-06 	 2.472e-06 	 1.343e-05 	 4.221e-07 
1.14600 	 8.800e-06 	 4.485e-06 	 3.813e-06 	 4.563e-07 
1.15000 	 3.541e-06 	 3.151e-06 	 2.865e-05 	 6.612e-07 
1.15400 	 3.836e-06 	 2.062e-06 	 2.246e-05 	 3.257e-07 
1.15800 	 3.109e-06 	 1.810e-06 	 2.149e-05 	 9.600e-07 
1.16200 	 3.644e-06 	 1.388e-06 	 7.773e-06 	 3.144e-07 
1.16600 	 3.729e-06 	 3.085e-06 	 9.950e-06 	 3.106e-07 
1.17000 	 6.151e-06 	 1.341e-07 	 1.422e-05 	 3.841e-07 
1.17400 	 3.478e-06 	 6.764e-07 	 1.812e-05 	 1.241e-06 
1.17800 	 2.946e-06 	 9.376e-07 	 1.439e-05 	 6.652e-07 
1.18200 	 1.958e-06 	 1.035e-06 	 1.566e-05 	 1.188e-06 
1.18600 	 3.282e-06 	 1.138e-06 	 1.652e-05 	 5.616e-07 
1.19000 	 2.370e-06 	 1.281e-06 	 2.671e-05 	 1.763e-06 
1.19400 	 1.702e-06 	 2.089e-06 	 1.524e-05 	 9.096e-07 
1.19800 	 1.691e-06 	 3.606e-07 	 2.591e-05 	 1.046e-06 
1.20200 	 1.464e-06 	 1.198e-06 	 2.698e-05 	 5.275e-07 
1.20600 	 2.467e-06 	 3.432e-07 	 2.388e-05 	 2.404e-06 
1.21000 	 1.897e-06 	 3.366e-07 	 6.666e-06 	 1.591e-06 
1.21400 	 2.524e-06 	 4.390e-07 	 2.308e-05 	 2.624e-06 
1.21800 	 2.084e-06 	 1.079e-07 	 2.030e-05 	 8.396e-07 
1.22200 	 2.142e-06 	 3.193e-07 	 4.277e-05 	 6.797e-07 
1.22600 	 1.975e-06 	 0.000e+00 	 1.697e-05 	 4.456e-07 
1.23000 	 1.851e-06 	 3.122e-07 	 1.511e-05 	 5.924e-07 
1.23400 	 3.728e-06 	 0.000e+00 	 2.913e-05 	 1.092e-06 
1.23800 	 2.542e-06 	 0.000e+00 	 4.036e-05 	 4.062e-06 
1.24200 	 1.889e-06 	 0.000e+00 	 1.196e-04 	 1.157e-06 
1.24600 	 1.091e-06 	 0.000e+00 	 7.895e-05 	 4.539e-07 
1.25000 	 3.504e-06 	 0.000e+00 	 1.145e-05 	 9.072e-07 
1.25400 	 4.715e-06 	 0.000e+00 	 1.280e-05 	 2.276e-06 
1.25800 	 1.825e-06 	 0.000e+00 	 2.291e-05 	 1.918e-06 
1.26200 	 8.487e-07 	 0.000e+00 	 2.323e-05 	 1.995e-06 
1.26600 	 2.551e-06 	 0.000e+00 	 7.828e-05 	 1.221e-06 
1.27000 	 2.036e-06 	 0.000e+00 	 4.149e-05 	 9.564e-07 
1.27400 	 4.173e-06 	 0.000e+00 	 2.952e-05 	 9.621e-07 
1.27800 	 5.114e-06 	 0.000e+00 	 1.086e-05 	 2.344e-06 
